계정코드,계정명칭,차대변구분
1330300,광업권,차/대변 모두 가능
1330400,창업비,차/대변 모두 가능
1330500,개발비,차/대변 모두 가능
1330600,소프트웨어,차/대변 모두 가능
1330700,회원권(무형),차/대변 모두 가능
1330800,브랜드,차/대변 모두 가능
1330900,수주잔고,차/대변 모두 가능
1331000,저작권,차/대변 모두 가능
1340100,보증금,차/대변 모두 가능
1340101,보증금(임차),차/대변 모두 가능
1340102,보증금(회원가입권),차/대변 모두 가능
1340103,보증금(기타),차/대변 모두 가능
1340104,보증금(예치),차/대변 모두 가능
1340105,관리비(예치),차/대변 모두 가능
1340106,보증금(숙소),차/대변 모두 가능
1340200,대손충당(보증금),차/대변 모두 가능
1340300,장기선급금,차/대변 모두 가능
1340400,이연법인세자산(비유동),차/대변 모두 가능
1340500,장기미수금,차/대변 모두 가능
1340600,대손충당(장기미수금),차/대변 모두 가능
1340700,장기공사미수금,차/대변 모두 가능
1340800,대손충당(장기공사미수금),차/대변 모두 가능
1340900,장기선급비용,차/대변 모두 가능
1340910,장기선급비용(공유),차/대변 모두 가능
1340920,장기선급비용(회원),차/대변 모두 가능
1340930,장기선급비용(약정),차/대변 모두 가능
1341000,장기미수수익,차/대변 모두 가능
1341010,대손충당금(장기미수수익),차/대변 모두 가능
1341100,금융리스채권(비유동),차/대변 모두 가능
1341200,예술품(기타),차/대변 모두 가능
1341300,장기분양미수금,차/대변 모두 가능
1341310,대손충당(장기분양미수금),차/대변 모두 가능
1350000,투자부동산,차/대변 모두 가능
1350100,토지(투자부동산),차/대변 모두 가능
1350200,건물(투자부동산),차/대변 모두 가능
1350300,감가누계(건물:투자부동산),차/대변 모두 가능
1350400,건물(건설중인자산:투자부동산),차/대변 모두 가능
1360000,사용권자산,차/대변 모두 가능
1360100,사용권자산(토지),차/대변 모두 가능
1360200,사용권자산(건물),차/대변 모두 가능
1360300,사용권자산감가상각누계액(건물),차/대변 모두 가능
1360400,사용권자산(구축물),차/대변 모두 가능
1360500,사용권자산감가상각누계액(구축물),차/대변 모두 가능
1360600,사용권자산(기계장치),차/대변 모두 가능
